date,pm10,so2,co,o3,no2,max,tempmax,tempmin,temp,feelslike,dew,humidity,precip,precipcover,windspeed,winddir,cloudcover,uvindex,solarenergy,next_day_aqi,aqi_category,month,day_of_week,dayofweek,is_weekend
2016-01-01,72.0,32.0,53.0,51.0,11.0,72.0,32.39,24.0,28.17,31.33,76.0,81.2,0.998,16.67,14.5,312.2,58.2,8,19.6,52.0,Moderate,1,4,4,False
2016-01-02,52.0,32.0,29.0,50.0,12.0,52.0,31.72,24.89,27.17,29.39,76.0,85.6,0.585,16.67,17.7,306.2,68.0,7,15.8,50.0,Good,1,5,5,True
2016-01-03,44.0,33.0,33.0,50.0,18.0,50.0,32.72,25.0,28.39,31.56,75.5,79.1,0.0,0.0,11.1,292.7,56.7,7,15.1,103.0,Unhealthy,1,6,6,True
2016-01-04,61.0,33.0,36.0,103.0,24.0,103.0,31.72,26.0,28.56,33.22,76.8,80.9,0.0,0.0,7.8,306.9,61.8,8,16.5,99.0,Moderate,1,0,0,False
2016-01-05,99.0,33.0,54.0,67.0,22.0,99.0,32.39,25.17,28.56,32.72,76.5,80.6,0.457,8.33,11.4,10.7,59.0,7,18.7,75.0,Moderate,1,1,1,False
2016-01-06,75.0,33.0,43.0,55.0,17.0,75.0,32.72,25.0,28.61,31.83,75.0,76.4,0.011,4.17,12.8,75.3,48.3,8,19.1,75.0,Moderate,1,2,2,False
2016-01-07,75.0,33.0,31.0,70.0,13.0,75.0,34.11,25.0,29.61,33.78,75.0,72.8,0.0,0.0,15.8,46.7,40.3,8,23.2,62.0,Moderate,1,3,3,False
2016-01-08,60.0,33.0,30.0,62.0,9.0,62.0,33.39,26.28,29.78,34.78,76.1,74.3,0.0,0.0,14.7,30.6,45.2,9,22.1,77.0,Moderate,1,4,4,False
2016-01-09,77.0,33.0,34.0,68.0,9.0,77.0,32.72,26.0,29.28,33.83,76.0,76.0,0.0,0.0,15.7,328.8,39.7,9,20.3,86.0,Moderate,1,5,5,True
2016-01-10,83.0,39.0,38.0,86.0,15.0,86.0,32.72,25.0,29.0,33.06,75.2,75.3,0.001,4.17,10.2,346.7,45.9,7,18.5,93.0,Moderate,1,6,6,True
2016-01-11,82.0,38.0,36.0,93.0,14.0,93.0,33.11,26.0,29.44,34.0,75.6,74.2,0.001,4.17,9.1,267.6,50.2,10,20.6,72.0,Moderate,1,0,0,False
2016-01-12,72.0,37.0,38.0,60.0,20.0,72.0,30.39,26.0,28.11,32.33,76.6,82.7,0.19,4.17,10.7,36.0,71.6,7,17.0,65.0,Moderate,1,1,1,False
2016-01-13,65.0,37.0,43.0,57.0,16.0,65.0,31.61,26.0,27.94,31.39,76.3,82.6,0.052,4.17,14.8,105.0,69.1,8,17.7,59.0,Moderate,1,2,2,False
2016-01-14,59.0,38.0,33.0,53.0,18.0,59.0,32.72,25.0,29.0,33.17,76.0,77.3,0.001,4.17,12.8,61.2,52.8,7,15.3,68.0,Moderate,1,3,3,False
2016-01-15,68.0,42.0,39.0,60.0,11.0,68.0,32.72,25.72,29.17,34.17,76.8,78.5,0.003,4.17,12.5,34.9,57.8,8,16.7,95.0,Moderate,1,4,4,False
2016-01-16,68.0,42.0,34.0,95.0,15.0,95.0,31.72,25.0,28.56,32.56,76.0,79.6,0.011,8.33,5.8,300.4,51.9,9,21.8,149.0,Unhealthy,1,5,5,True
2016-01-17,94.0,42.0,39.0,149.0,17.0,149.0,33.72,26.0,28.94,33.06,75.7,77.0,0.0,0.0,8.1,287.1,56.1,9,22.7,107.0,Unhealthy,1,6,6,True
2016-01-18,96.0,44.0,43.0,107.0,21.0,107.0,33.11,25.0,28.89,32.83,75.5,76.5,0.0,0.0,10.7,288.4,52.7,7,18.5,83.0,Moderate,1,0,0,False
2016-01-19,77.0,45.0,31.0,83.0,18.0,83.0,32.72,25.0,28.56,31.67,75.0,76.9,0.021,12.5,12.5,302.0,61.7,8,19.1,69.0,Moderate,1,1,1,False
2016-01-20,61.0,44.0,39.0,69.0,18.0,69.0,31.72,26.0,27.83,31.0,76.1,82.7,1.178,12.5,14.5,270.3,67.7,6,14.5,73.0,Moderate,1,2,2,False
2016-01-21,66.0,48.0,35.0,73.0,14.0,73.0,30.06,24.94,27.78,31.44,76.5,83.8,0.069,8.33,7.2,303.0,79.3,8,17.6,79.0,Moderate,1,3,3,False
2016-01-22,79.0,41.0,59.0,52.0,15.0,79.0,31.06,26.0,28.5,33.39,77.1,82.0,0.046,8.33,11.4,323.7,67.6,7,17.9,55.0,Moderate,1,4,4,False
2016-01-23,55.0,40.0,37.0,51.0,14.0,55.0,29.5,24.28,26.28,27.83,75.9,89.6,0.831,25.0,8.2,31.0,68.7,4,9.3,55.0,Moderate,1,5,5,True
2016-01-24,55.0,41.0,42.0,48.0,14.0,55.0,30.67,23.0,26.72,29.17,76.3,89.1,1.045,20.83,13.7,45.2,71.0,6,15.5,49.0,Good,1,6,6,True
2016-01-25,37.0,40.0,32.0,49.0,13.0,49.0,27.61,24.0,25.5,25.89,75.8,93.6,0.615,29.17,9.2,110.2,80.9,6,13.6,61.0,Moderate,1,0,0,False
2016-01-26,61.0,42.0,47.0,54.0,16.0,61.0,31.83,24.22,27.78,31.0,76.4,84.2,0.035,8.33,9.0,313.1,59.8,7,16.4,81.0,Moderate,1,1,1,False
