name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Jakarta, Indonesia",2021-02-22,87.3,77.0,82.0,95.2,77.0,86.8,74.5,78.6,0.0,0,0.0,,0,0,17.9,11.3,324.0,1010.1,58.9,3.6,234.4,20.3,9,,2021-02-22T05:58:20,2021-02-22T18:13:59,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2021-02-23,90.3,77.0,81.8,97.7,77.0,86.4,74.4,79.3,0.012,100,4.17,rain,0,0,21.7,21.3,293.6,1008.4,54.9,3.4,244.7,21.1,10,,2021-02-23T05:58:22,2021-02-23T18:13:41,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2021-02-24,89.5,75.2,79.7,97.6,75.2,81.9,73.0,80.7,0.466,100,8.33,rain,0,0,28.9,17.2,267.7,1007.4,62.3,4.5,111.9,9.6,5,,2021-02-24T05:58:23,2021-02-24T18:13:22,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96737099999,96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"Jakarta, Indonesia",2021-02-25,86.0,75.2,81.2,95.4,75.2,86.9,75.7,83.8,0.053,100,12.5,rain,0,0,25.1,20.3,328.2,1006.3,64.2,4.3,159.0,13.7,5,,2021-02-25T05:58:24,2021-02-25T18:13:03,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"Jakarta, Indonesia",2021-02-26,87.8,73.4,80.1,97.8,73.4,84.1,74.5,83.7,0.519,100,12.5,rain,0,0,25.3,13.9,10.0,1007.4,66.4,4.1,147.3,13.0,6,,2021-02-26T05:58:24,2021-02-26T18:12:43,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"Jakarta, Indonesia",2021-02-27,87.9,73.4,82.4,97.8,73.4,87.9,74.7,78.5,0.15,100,8.33,rain,0,0,17.2,10.3,334.3,1008.2,54.8,3.9,234.7,20.3,8,,2021-02-27T05:58:24,2021-02-27T18:12:22,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"Jakarta, Indonesia",2021-02-28,93.2,78.8,84.8,100.9,78.8,91.0,73.2,69.2,0.008,100,4.17,rain,0,0,18.3,15.0,254.9,1009.4,49.9,4.4,244.3,21.1,10,,2021-02-28T05:58:23,2021-02-28T18:12:01,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"Jakarta, Indonesia",2021-03-01,91.0,78.8,83.6,103.1,78.8,90.8,75.2,76.4,0.008,100,4.17,rain,0,0,15.9,16.9,297.1,1010.0,57.9,4.4,254.3,21.9,9,,2021-03-01T05:58:21,2021-03-01T18:11:39,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"Jakarta, Indonesia",2021-03-02,87.8,73.4,80.8,99.9,73.4,85.8,75.2,83.6,0.808,100,20.83,rain,0,0,16.8,12.8,341.2,1010.5,64.3,4.2,227.1,19.6,8,,2021-03-02T05:58:20,2021-03-02T18:11:17,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"Jakarta, Indonesia",2021-03-03,87.8,75.2,82.4,98.2,75.2,88.5,75.1,79.2,1.42,100,16.67,rain,0,0,15.7,15.7,316.0,1010.7,56.4,4.2,243.5,21.0,10,,2021-03-03T05:58:17,2021-03-03T18:10:54,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"Jakarta, Indonesia",2021-03-04,87.8,77.0,82.6,98.7,77.0,88.1,74.7,77.7,0.124,100,8.33,rain,0,0,15.7,13.9,330.4,1011.1,54.6,3.7,225.4,19.4,9,,2021-03-04T05:58:15,2021-03-04T18:10:31,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"Jakarta, Indonesia",2021-03-05,87.8,75.2,81.1,99.9,75.2,84.9,74.5,80.9,0.028,100,4.17,rain,0,0,15.0,21.3,356.6,1010.6,56.5,3.9,264.7,22.8,10,,2021-03-05T05:58:11,2021-03-05T18:10:07,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"Jakarta, Indonesia",2021-03-06,86.2,75.9,81.0,97.3,75.9,84.8,75.0,82.5,2.577,100,12.5,rain,0,0,15.0,11.4,297.8,1010.5,61.1,3.6,236.1,20.3,9,,2021-03-06T05:58:08,2021-03-06T18:09:43,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"Jakarta, Indonesia",2021-03-07,89.6,77.0,81.0,100.3,77.0,84.8,74.6,81.9,0.084,100,8.33,rain,0,0,19.7,15.0,298.5,1010.8,59.8,3.7,220.3,18.9,8,,2021-03-07T05:58:04,2021-03-07T18:09:18,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"Jakarta, Indonesia",2021-03-08,87.8,75.2,79.9,96.0,75.2,82.5,73.8,82.5,0.133,100,8.33,rain,0,0,21.0,19.7,259.3,1010.8,60.8,3.8,131.4,11.4,5,,2021-03-08T05:57:59,2021-03-08T18:08:53,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2021-03-09,87.8,75.2,80.0,96.4,75.2,82.4,73.0,79.7,0.88,100,4.17,rain,0,0,19.0,11.1,306.6,1010.4,53.1,3.6,251.7,21.8,9,,2021-03-09T05:57:55,2021-03-09T18:08:28,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2021-03-10,87.3,77.0,81.4,95.8,77.0,85.2,74.3,80.0,0.727,100,8.33,rain,0,0,25.3,20.2,318.1,1010.3,63.3,3.3,195.0,16.8,7,,2021-03-10T05:57:50,2021-03-10T18:08:02,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2021-03-11,85.7,71.6,79.0,91.7,71.6,81.8,72.8,82.4,1.425,100,20.83,rain,0,0,21.9,11.4,290.5,1011.0,70.1,3.6,215.3,18.6,9,,2021-03-11T05:57:44,2021-03-11T18:07:36,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2021-03-12,86.7,75.2,81.1,96.3,75.2,85.3,74.6,81.2,0.01,100,4.17,rain,0,0,25.3,12.5,302.3,1011.1,53.2,3.7,253.3,21.9,9,,2021-03-12T05:57:39,2021-03-12T18:07:10,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
